,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,GAMMAP,TIME,C3T,E_STORED,E_DISSIPATED
20,62.8,0.000343555555555556,0.000343555555555556,-0.00248533333333333,0.0,0.0,0.0,-4000000.0,-4000000.0,-24368000.0,0.0,0.0,0.0,0.000343555555555556,0.000343555555555556,-0.00248533333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.8,59.9999997154088,0.0,0.0
21,64.0,0.000373333333333334,0.000373333333333334,-0.00260444444444444,0.0,0.0,0.0,-4000000.0,-4000000.0,-25440000.0,0.0,0.0,0.0,0.000373333333333333,0.000373333333333333,-0.00260444444444444,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,59.9999997154088,0.0,0.0
22,65.2,0.00043673538794438,0.00043673538794438,-0.00272355555555556,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-26278088.5700786,0.0,0.0,0.0,0.000396613571391072,0.000396613571391072,-0.0026975653966754,0.0,0.0,0.0,0.000102180935965957,3.0,1.0,5.4253474226453e-05,4.40746502889714e-05,25.2,59.9999995070736,0.0,0.0
23,66.4,0.000620610914504177,0.000620610914504177,-0.00284266666666667,0.0,0.0,0.0,-4000000.00000007,-4000000.00000007,-26278088.5700786,0.0,0.0,0.0,0.000396613571391066,0.000396613571391066,-0.0026975653966754,0.0,0.0,0.0,0.000570469139720377,2.0,1.0,0.00030289341623488,0.000246065742069566,26.4,60.0,0.0,0.0
24,67.6,0.000804486441063962,0.000804486441063962,-0.00296177777777778,0.0,0.0,0.0,-4000000.00000102,-4000000.00000102,-26278088.5700816,0.0,0.0,0.0,0.00039661357139107,0.00039661357139107,-0.00269756539667567,0.0,0.0,0.0,0.00103875734347367,2.0,1.0,0.000551533358242709,0.000448056833849674,27.6,59.9999995070736,0.0,0.0
25,68.8,0.000988361967624179,0.000988361967624179,-0.00308088888888889,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-26278088.5700784,0.0,0.0,0.0,0.000396613571391066,0.000396613571391066,-0.00269756539667538,0.0,0.0,0.0,0.00150704554722922,2.0,1.0,0.000800173300251735,0.000650047925630756,28.8,60.0,0.0,0.0
26,70.0,0.00117223749418394,0.00117223749418394,-0.0032,0.0,0.0,0.0,-4000000.00000101,-4000000.00000101,-26278088.5700815,0.0,0.0,0.0,0.00039661357139107,0.00039661357139107,-0.00269756539667567,0.0,0.0,0.0,0.00197533375098246,2.0,1.0,0.00104881324225954,0.000852039017410842,30.0,59.9999993636347,0.0,0.0
27,71.2,0.00135611302074416,0.00135611302074416,-0.00331911111111111,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-26278088.5700784,0.0,0.0,0.0,0.000396613571391066,0.000396613571391066,-0.00269756539667538,0.0,0.0,0.0,0.002443621954738,2.0,1.0,0.00129745318426856,0.00105403010919192,31.2,60.0,0.0,0.0
28,72.4,0.00153998854730392,0.00153998854730392,-0.00343822222222222,0.0,0.0,0.0,-4000000.00000102,-4000000.00000102,-26278088.5700816,0.0,0.0,0.0,0.00039661357139107,0.00039661357139107,-0.00269756539667567,0.0,0.0,0.0,0.00291191015849124,2.0,1.0,0.00154609312627636,0.001256021200972,32.4,59.9999997154088,0.0,0.0
29,73.6,0.00172386407386413,0.00172386407386413,-0.00355733333333333,0.0,0.0,0.0,-4000000.00000102,-4000000.00000102,-26278088.5700816,0.0,0.0,0.0,0.00039661357139107,0.000396613571391069,-0.00269756539667567,0.0,0.0,0.0,0.00338019836224562,2.0,1.0,0.00179473306828476,0.00145801229275258,33.6,59.9999994308176,0.0,0.0
30,74.8,0.00190773960042435,0.00190773960042435,-0.00367644444444444,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-26278088.5700784,0.0,0.0,0.0,0.000396613571391066,0.000396613571391066,-0.00269756539667538,0.0,0.0,0.0,0.00384848656600117,2.0,1.0,0.00204337301029379,0.00166000338453366,34.8,59.9999995975272,0.0,0.0
31,76.0,0.00209161512698411,0.00209161512698411,-0.00379555555555556,0.0,0.0,0.0,-4000000.00000102,-4000000.00000102,-26278088.5700815,0.0,0.0,0.0,0.000396613571391069,0.000396613571391069,-0.00269756539667567,0.0,0.0,0.0,0.00431677476975442,2.0,1.0,0.00229201295230159,0.00186199447631375,36.0,59.9999997154088,0.0,0.0
32,77.2,0.00227549065354432,0.00227549065354432,-0.00391466666666667,0.0,0.0,0.0,-4000000.00000102,-4000000.00000102,-26278088.5700816,0.0,0.0,0.0,0.00039661357139107,0.00039661357139107,-0.00269756539667567,0.0,0.0,0.0,0.00478506297350879,2.0,1.0,0.00254065289431,0.00206398556809432,37.2,59.9999995070736,0.0,0.0
33,78.4,0.00245936618010454,0.00245936618010454,-0.00403377777777778,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-26278088.5700784,0.0,0.0,0.0,0.000396613571391066,0.000396613571391066,-0.00269756539667538,0.0,0.0,0.0,0.00525335117726434,2.0,1.0,0.00278929283631903,0.00226597665987541,38.4,59.9999995070736,0.0,0.0
