,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,EPLXX,EPLYY,EPLZZ,EPLXY,EPLXZ,EPLYZ,LAMBDA,ALPHA,NITER,IP,EVP,GAMMAP,TIME,DOMAIN,XEQ,XM,Y,E_STORED,E_DISSIPATED
144,211.6,0.0173710203391086,0.0173710203391086,-0.0172551111111111,0.0,0.0,0.0,-3999999.9999994,-3999999.99999939,-19647641.4317059,0.0,0.0,0.0,0.000212434484214103,0.000212434484214104,-0.00196084904796736,0.0,0.0,0.0,0.0171585858549293,0.0171585858549293,-0.0152942620631437,0.0,0.0,0.0,0.0358277279052005,0.899768344511124,4.0,1.0,0.0190229096467149,0.0,171.6,1.0,15305755.4156237,-9288407.48590675,90000.0,0.0,0.0
145,212.8,0.0175060833336546,0.0175060833336546,-0.0173742222222222,0.0,0.0,0.0,-3999999.99999841,-3999999.99999841,-19632853.6427764,0.0,0.0,0.0,0.000212023712299476,0.000212023712299477,-0.00195920596030858,0.0,0.0,0.0,0.0172940596213904,0.0172940596213904,-0.0154150162619136,0.0,0.0,0.0,0.0361106018718604,0.901210749700856,4.0,1.0,0.0191731029808671,0.0,172.8,1.0,15298382.5559151,-9281905.23482671,90000.0,0.0,0.0
146,214.0,0.0176411055000814,0.0176411055000814,-0.0174933333333333,0.0,0.0,0.0,-3999999.9999995,-3999999.99999949,-19618487.2947952,0.0,0.0,0.0,0.000211624647077688,0.000211624647077689,-0.00195760969942172,0.0,0.0,0.0,0.0174294808530391,0.0174294808530391,-0.0155357236339116,0.0,0.0,0.0,0.0363933661439933,0.902622634880764,4.0,1.0,0.0193232380721667,0.0,174.0,1.0,15291219.8171049,-9275588.29307217,90000.000002972,0.0,0.0
147,215.2,0.0177760882763209,0.0177760882763209,-0.0176124444444444,0.0,0.0,0.0,-3999999.99999955,-3999999.99999957,-19604527.5449671,0.0,0.0,0.0,0.000211236876249123,0.00021123687624912,-0.00195605861610748,0.0,0.0,0.0,0.0175648514001073,0.0175648514001073,-0.015656385828337,0.0,0.0,0.0,0.0366760245849477,0.904004848530571,4.0,1.0,0.0194733169718776,0.0,175.2,1.0,15284259.7992126,-9269450.13413954,90000.0,0.0,0.0
148,216.4,0.0179110330401252,0.0179110330401252,-0.0177315555555556,0.0,0.0,0.0,-3999999.99999999,-4000000.00000001,-19590960.1716924,0.0,0.0,0.0,0.000210860004769234,0.000210860004769233,-0.00195455113018804,0.0,0.0,0.0,0.0177001730353915,0.0177001730353915,-0.0157770044253675,0.0,0.0,0.0,0.036958580896385,0.905358209885281,4.0,1.0,0.0196233416454155,0.0,176.4,1.0,15277495.4112765,-9263484.50481722,90000.0000025557,0.0,0.0
149,217.6,0.0180459411117762,0.0180459411117762,-0.0178506666666667,0.0,0.0,0.0,-3999999.99999965,-3999999.99999964,-19577771.5465966,0.0,0.0,0.0,0.000210493654072157,0.000210493654072159,-0.00195308572739964,0.0,0.0,0.0,0.0178354474577396,0.0178354474577396,-0.015897580939267,0.0,0.0,0.0,0.0372410386255591,0.906683510179198,4.0,1.0,0.0197733139762123,0.0,177.6,1.0,15270919.8588554,-9257685.4125763,90000.0,0.0,0.0
150,218.8,0.0181808137570837,0.0181808137570837,-0.0179697777777778,0.0,0.0,0.0,-4000000.0,-4000000.00000001,-19564948.6035856,0.0,0.0,0.0,0.000210137461210711,0.000210137461210709,-0.00195166095595395,0.0,0.0,0.0,0.0179706762959086,0.0179706762959086,-0.0160181168218238,0.0,0.0,0.0,0.0375234011733714,0.90798151375375,4.0,1.0,0.0199232357699934,0.0,178.8,1.0,15264526.6271558,-9252047.11227305,90000.0000022027,0.0,0.0
151,220.0,0.0183156521897956,0.0183156521897956,-0.0180888888888889,0.0,0.0,0.0,-3999999.99999971,-3999999.99999972,-19552478.8139627,0.0,0.0,0.0,0.000209791078165657,0.000209791078165655,-0.00195027542377365,0.0,0.0,0.0,0.0181058611116657,0.0181058611116657,-0.0161386134651152,0.0,0.0,0.0,0.0378056718008467,0.909252959184952,4.0,1.0,0.0200731087582161,0.0,180.0,1.0,15258309.4699573,-9246564.09492291,90000.0,0.0,0.0
152,221.2,0.0184504575742671,0.0184504575742671,-0.018208,0.0,0.0,0.0,-3999999.99999973,-3999999.99999974,-19540350.1588819,0.0,0.0,0.0,0.000209454171080076,0.000209454171080074,-0.00194892779543134,0.0,0.0,0.0,0.0182410034032228,0.0182410034032228,-0.0162590722045687,0.0,0.0,0.0,0.0380878536363039,0.910498560290629,4.0,1.0,0.0202229346018769,0.0,181.2,1.0,15252262.3946499,-9241231.07585064,90000.000001903,0.0,0.0
153,222.4,0.0185852310276224,0.0185852310276224,-0.0183271111111111,0.0,0.0,0.0,-3999999.99999977,-3999999.99999975,-19528551.1070265,0.0,0.0,0.0,0.000209126419639643,0.000209126419639645,-0.00194761678966962,0.0,0.0,0.0,0.0183761046080187,0.0183761046080187,-0.0163794943214415,0.0,0.0,0.0,0.0383699496811654,0.911719007151312,4.0,1.0,0.0203727148945959,0.0,182.4,1.0,15246379.6522395,-9236042.98463373,90000.0,0.0,0.0
