,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,TIME,C3T,E_STORED,E_DISSIPATED
16,58.0,5.80683853093216e-05,5.80683853093216e-05,-0.00216297115055097,0.0,0.0,0.0,-4000000.0,-4000000.0,-13203055.0,0.0,0.0,0.0,5.80683853093217e-05,5.80683853093218e-05,-0.00216297115055097,0.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,59.9999995975272,0.0,0.0
17,59.2,8.76822457874592e-05,8.76822457874591e-05,-0.00228142659246352,0.0,0.0,0.0,-4000000.0,-4000000.0,-13816592.0,0.0,0.0,0.0,8.76822457874592e-05,8.76822457874592e-05,-0.00228142659246352,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.2,60.0,0.0,0.0
18,60.4,0.000117296106265596,0.000117296106265596,-0.00239988203437607,0.0,0.0,0.0,-4000000.0,-4000000.0,-14430129.0,0.0,0.0,0.0,0.000117296106265596,0.000117296106265596,-0.00239988203437607,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.4,59.9999993636347,0.0,0.0
19,61.6,0.000146909966743734,0.000146909966743733,-0.00251833747628862,0.0,0.0,0.0,-4000000.0,-4000000.0,-15043666.0,0.0,0.0,0.0,0.000146909966743734,0.000146909966743733,-0.00251833747628862,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.6,59.9999997154088,0.0,0.0
20,62.8,0.000176523827221871,0.000176523827221871,-0.00263679291820117,0.0,0.0,0.0,-4000000.0,-4000000.0,-15657203.0,0.0,0.0,0.0,0.000176523827221871,0.000176523827221871,-0.00263679291820117,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.8,59.9999994308176,0.0,0.0
21,64.0,0.000206137687700008,0.000206137687700008,-0.00275524836011372,0.0,0.0,0.0,-4000000.0,-4000000.0,-16270740.0,0.0,0.0,0.0,0.000206137687700008,0.000206137687700008,-0.00275524836011372,0.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0,60.0,0.0,0.0
22,65.2,0.000235751548178146,0.000235751548178146,-0.00287370380202627,0.0,0.0,0.0,-4000000.0,-4000000.0,-16884277.0,0.0,0.0,0.0,0.000235751548178146,0.000235751548178146,-0.00287370380202627,0.0,0.0,0.0,0.0,2.0,0.0,0.0,25.2,60.0,0.0,0.0
23,66.4,0.000265365408656283,0.000265365408656283,-0.00299215924393882,0.0,0.0,0.0,-4000000.0,-4000000.0,-17497814.0,0.0,0.0,0.0,0.000265365408656283,0.000265365408656283,-0.00299215924393882,0.0,0.0,0.0,0.0,2.0,0.0,0.0,26.4,59.9999997154088,0.0,0.0
24,67.6,0.00029497926913442,0.00029497926913442,-0.00311061468585136,0.0,0.0,0.0,-4000000.0,-4000000.0,-18111351.0,0.0,0.0,0.0,0.00029497926913442,0.00029497926913442,-0.00311061468585136,0.0,0.0,0.0,0.0,2.0,0.0,0.0,27.6,60.0,0.0,0.0
25,68.8,0.000324593129612557,0.000324593129612557,-0.00322907012776391,0.0,0.0,0.0,-4000000.0,-4000000.0,-18724888.0,0.0,0.0,0.0,0.000324593129612557,0.000324593129612557,-0.00322907012776391,0.0,0.0,0.0,0.0,2.0,0.0,0.0,28.8,59.9999994308176,0.0,0.0
26,70.0,0.000354206990090694,0.000354206990090694,-0.00334752556967646,0.0,0.0,0.0,-4000000.0,-4000000.0,-19338425.0,0.0,0.0,0.0,0.000354206990090694,0.000354206990090694,-0.00334752556967646,0.0,0.0,0.0,0.0,2.0,0.0,0.0,30.0,59.9999997154088,0.0,0.0
27,71.2,0.000383820850568832,0.000383820850568832,-0.00346598101158901,0.0,0.0,0.0,-4000000.0,-4000000.0,-19951962.0,0.0,0.0,0.0,0.000383820850568832,0.000383820850568832,-0.00346598101158901,0.0,0.0,0.0,0.0,2.0,0.0,0.0,31.2,60.0,0.0,0.0
28,72.4,0.000413434711046969,0.000413434711046969,-0.00358443645350156,0.0,0.0,0.0,-4000000.0,-4000000.0,-20565499.0,0.0,0.0,0.0,0.000413434711046969,0.000413434711046969,-0.00358443645350156,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.4,59.9999994308176,0.0,0.0
29,73.6,0.000443048571525106,0.000443048571525106,-0.00370289189541411,0.0,0.0,0.0,-4000000.0,-4000000.0,-21179036.0,0.0,0.0,0.0,0.000443048571525106,0.000443048571525106,-0.00370289189541411,0.0,0.0,0.0,0.0,2.0,0.0,0.0,33.6,59.9999995975272,0.0,0.0
30,74.8,0.000472662432003243,0.000472662432003243,-0.00382134733732666,0.0,0.0,0.0,-4000000.0,-4000000.0,-21792573.0,0.0,0.0,0.0,0.000472662432003243,0.000472662432003243,-0.00382134733732666,0.0,0.0,0.0,0.0,2.0,0.0,0.0,34.8,60.0,0.0,0.0
31,76.0,0.000502276292481381,0.000502276292481381,-0.00393980277923921,0.0,0.0,0.0,-4000000.0,-4000000.0,-22406110.0,0.0,0.0,0.0,0.000502276292481381,0.000502276292481381,-0.00393980277923921,0.0,0.0,0.0,0.0,2.0,0.0,0.0,36.0,59.9999995975272,0.0,0.0
32,77.2,0.000531890152959518,0.000531890152959518,-0.00405825822115176,0.0,0.0,0.0,-4000000.0,-4000000.0,-23019647.0,0.0,0.0,0.0,0.000531890152959518,0.000531890152959518,-0.00405825822115176,0.0,0.0,0.0,0.0,2.0,0.0,0.0,37.2,59.9999995975272,0.0,0.0
33,78.4,0.000561504013437655,0.000561504013437655,-0.00417671366306431,0.0,0.0,0.0,-4000000.0,-4000000.0,-23633184.0,0.0,0.0,0.0,0.000561504013437655,0.000561504013437655,-0.00417671366306431,0.0,0.0,0.0,0.0,2.0,0.0,0.0,38.4,59.9999995070736,0.0,0.0
34,79.6,0.000591117873915793,0.000591117873915793,-0.00429516910497686,0.0,0.0,0.0,-4000000.0,-4000000.0,-24246721.0,0.0,0.0,0.0,0.000591117873915792,0.000591117873915792,-0.00429516910497686,0.0,0.0,0.0,0.0,2.0,0.0,0.0,39.6,59.9999995975272,0.0,0.0
35,80.8,0.00062073173439393,0.00062073173439393,-0.0044136245468894,0.0,0.0,0.0,-4000000.0,-4000000.0,-24860258.0,0.0,0.0,0.0,0.00062073173439393,0.00062073173439393,-0.0044136245468894,0.0,0.0,0.0,0.0,2.0,0.0,0.0,40.8,59.9999995975272,0.0,0.0
36,82.0,0.000650345594872067,0.000650345594872067,-0.00453207998880195,0.0,0.0,0.0,-4000000.0,-4000000.0,-25473795.0,0.0,0.0,0.0,0.000650345594872067,0.000650345594872067,-0.00453207998880195,0.0,0.0,0.0,0.0,2.0,0.0,0.0,42.0,60.0,0.0,0.0
37,83.2,0.000679959455350204,0.000679959455350204,-0.0046505354307145,0.0,0.0,0.0,-4000000.0,-4000000.0,-26087332.0,0.0,0.0,0.0,0.000679959455350204,0.000679959455350204,-0.0046505354307145,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43.2,59.9999997154088,0.0,0.0
38,84.4,0.00080282964421018,0.00080282964421018,-0.00476899087262705,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008604,0.0,0.0,0.0,0.000691520665746067,0.000691520665746067,-0.00469678027229795,0.0,0.0,0.0,0.000283277056310082,2.0,1.0,0.000150407356599129,44.4,59.9999997154088,0.0,0.0
39,85.6,0.000985422700807272,0.000985422700807272,-0.0048874463145396,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008605,0.0,0.0,0.0,0.000691520665746067,0.000691520665746067,-0.00469678027229796,0.0,0.0,0.0,0.000747969341597386,2.0,1.0,0.000397138027880763,45.6,59.9999995975272,0.0,0.0
40,86.8,0.00116801575740437,0.00116801575740437,-0.00500590175645215,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-26326856.0008604,0.0,0.0,0.0,0.000691520665746066,0.000691520665746066,-0.00469678027229795,0.0,0.0,0.0,0.0012126616268847,2.0,1.0,0.000643868699162402,46.8,59.9999997154088,0.0,0.0
41,88.0,0.00135060881400146,0.00135060881400146,-0.0051243571983647,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008605,0.0,0.0,0.0,0.000691520665746068,0.000691520665746067,-0.00469678027229796,0.0,0.0,0.0,0.001677353912172,2.0,1.0,0.000890599370444034,48.0,59.9999997154088,0.0,0.0
42,89.2,0.00153320187059855,0.00153320187059855,-0.00524281264027725,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008605,0.0,0.0,0.0,0.000691520665746067,0.000691520665746067,-0.00469678027229796,0.0,0.0,0.0,0.0021420461974593,2.0,1.0,0.00113733004172567,49.2,59.9999995975272,0.0,0.0
43,90.4,0.00171579492719565,0.00171579492719565,-0.0053612680821898,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-26326856.0008604,0.0,0.0,0.0,0.000691520665746067,0.000691520665746067,-0.00469678027229795,0.0,0.0,0.0,0.00260673848274662,2.0,1.0,0.00138406071300731,50.4,59.9999995070736,0.0,0.0
