,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,GAMMAP,TIME,C3T,E_STORED,E_DISSIPATED
20,62.8,0.000407674118903773,0.000407674118903773,-0.0024648,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008604,0.0,0.0,0.0,0.00035817140002151,0.000358171400021511,-0.00243268560008604,0.0,0.0,0.0,0.000125982509926939,2.0,1.0,6.68910378505656e-05,5.44114125308133e-05,22.8,60.0,0.0,0.0
21,64.0,0.000591414874034644,0.000591414874034644,-0.002584,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008605,0.0,0.0,0.0,0.000358171400021512,0.000358171400021511,-0.00243268560008605,0.0,0.0,0.0,0.000593595643708826,2.0,1.0,0.000315172548112311,0.000256371915951391,24.0,59.9999995975272,0.0,0.0
22,65.2,0.000775155629165525,0.000775155629165525,-0.0027032,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-26326856.0008605,0.0,0.0,0.0,0.000358171400021511,0.000358171400021511,-0.00243268560008605,0.0,0.0,0.0,0.00106120877749073,2.0,1.0,0.000563454058374064,0.000458332419371976,25.2,59.9999994308176,0.0,0.0
23,66.4,0.000958896384296408,0.000958896384296408,-0.0028224,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008604,0.0,0.0,0.0,0.00035817140002151,0.00035817140002151,-0.00243268560008604,0.0,0.0,0.0,0.00152882191127265,2.0,1.0,0.000811735568635825,0.000660292922792567,26.4,59.9999995070736,0.0,0.0
24,67.6,0.00114263713942728,0.00114263713942728,-0.0029416,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008604,0.0,0.0,0.0,0.000358171400021511,0.00035817140002151,-0.00243268560008604,0.0,0.0,0.0,0.00199643504505454,2.0,1.0,0.00106001707889758,0.00086225342621315,27.6,59.9999995975272,0.0,0.0
25,68.8,0.00132637789455816,0.00132637789455816,-0.0030608,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008604,0.0,0.0,0.0,0.000358171400021511,0.000358171400021511,-0.00243268560008604,0.0,0.0,0.0,0.00246404817883644,2.0,1.0,0.00130829858915933,0.00106421392963373,28.8,59.9999997154088,0.0,0.0
26,70.0,0.00151011864968903,0.00151011864968903,-0.00318,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008605,0.0,0.0,0.0,0.000358171400021512,0.000358171400021511,-0.00243268560008605,0.0,0.0,0.0,0.00293166131261834,2.0,1.0,0.00155658009942108,0.00126617443305431,30.0,59.9999995975272,0.0,0.0
27,71.2,0.00169385940481991,0.00169385940481992,-0.0032992,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-26326856.0008605,0.0,0.0,0.0,0.000358171400021511,0.000358171400021511,-0.00243268560008605,0.0,0.0,0.0,0.00339927444640024,2.0,1.0,0.00180486160968283,0.0014681349364749,31.2,59.9999997154088,0.0,0.0
28,72.4,0.00187760015995079,0.00187760015995079,-0.0034184,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008604,0.0,0.0,0.0,0.000358171400021511,0.000358171400021511,-0.00243268560008604,0.0,0.0,0.0,0.00386688758018215,2.0,1.0,0.00205314311994459,0.00167009543989548,32.4,59.9999995975272,0.0,0.0
29,73.6,0.00206134091508167,0.00206134091508167,-0.0035376,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008604,0.0,0.0,0.0,0.000358171400021511,0.000358171400021511,-0.00243268560008604,0.0,0.0,0.0,0.00433450071396405,2.0,1.0,0.00230142463020634,0.00187205594331607,33.6,59.9999993636347,0.0,0.0
30,74.8,0.00224508167021255,0.00224508167021255,-0.0036568,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-26326856.0008604,0.0,0.0,0.0,0.00035817140002151,0.00035817140002151,-0.00243268560008604,0.0,0.0,0.0,0.00480211384774596,2.0,1.0,0.0025497061404681,0.00207401644673665,34.8,59.9999995070736,0.0,0.0
