,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,GAMMAP,NITER,IP,EVP,TIME,E_STORED,E_DISSIPATED
20,62.8,-0.001468,-0.001468,-0.004128,0.0,0.0,0.0,-4000000.0,-4000000.0,-6128000.0,0.0,0.0,0.0,-0.001468,-0.001468,-0.004128,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.8,0.0,0.0
21,64.0,-0.00144,-0.00144,-0.00424,0.0,0.0,0.0,-4000000.0,-4000000.0,-6240000.0,0.0,0.0,0.0,-0.00144,-0.00144,-0.00424,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0,0.0,0.0
22,65.2,-0.001412,-0.001412,-0.004352,0.0,0.0,0.0,-4000000.0,-4000000.0,-6352000.0,0.0,0.0,0.0,-0.001412,-0.001412,-0.004352,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,25.2,0.0,0.0
23,66.4,-0.001384,-0.001384,-0.004464,0.0,0.0,0.0,-4000000.0,-4000000.0,-6464000.0,0.0,0.0,0.0,-0.001384,-0.001384,-0.004464,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,26.4,0.0,0.0
24,67.6,-0.001356,-0.001356,-0.004576,0.0,0.0,0.0,-4000000.0,-4000000.0,-6576000.0,0.0,0.0,0.0,-0.001356,-0.001356,-0.004576,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,27.6,0.0,0.0
25,68.8,-0.001328,-0.001328,-0.004688,0.0,0.0,0.0,-4000000.0,-4000000.0,-6688000.0,0.0,0.0,0.0,-0.001328,-0.001328,-0.004688,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,28.8,0.0,0.0
26,70.0,-0.0013,-0.0013,-0.0048,0.0,0.0,0.0,-4000000.0,-4000000.0,-6800000.0,0.0,0.0,0.0,-0.0013,-0.0013,-0.0048,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,30.0,0.0,0.0
27,71.2,-0.001272,-0.001272,-0.004912,0.0,0.0,0.0,-4000000.0,-4000000.0,-6912000.0,0.0,0.0,0.0,-0.001272,-0.001272,-0.004912,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,31.2,0.0,0.0
28,72.4,-0.001244,-0.001244,-0.005024,0.0,0.0,0.0,-4000000.0,-4000000.0,-7024000.0,0.0,0.0,0.0,-0.001244,-0.001244,-0.005024,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.4,0.0,0.0
29,73.6,-0.001216,-0.001216,-0.005136,0.0,0.0,0.0,-4000000.0,-4000000.0,-7136000.0,0.0,0.0,0.0,-0.001216,-0.001216,-0.005136,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,33.6,0.0,0.0
