,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,EPLXX,EPLYY,EPLZZ,EPLXY,EPLXZ,EPLYZ,LAMBDA,ALPHA,NITER,IP,EVP,GAMMAP,TIME,DOMAIN,XEQ,XM,Y,E_STORED,E_DISSIPATED
48,96.4,0.0013963765718207,0.0013963765718207,-0.00582044444444444,0.0,0.0,0.0,-4000000.0,-4000000.0,-52122965.4110516,0.0,0.0,0.0,0.00111452681697366,0.00111452681697366,-0.00556921837900573,0.0,0.0,0.0,0.00028184975483153,0.00028184975483153,-0.000251226065438712,0.0,0.0,0.0,0.000588512154301489,0.000553023637149397,4.0,1.0,0.000312473444224348,0.0,56.4,1.0,27395211.0533864,-24438132.3994022,3354834.00018456,0.0,0.0
49,97.6,0.00144357460353971,0.00144357460353971,-0.00593955555555555,0.0,0.0,0.0,-4000000.0,-4000000.0,-53015147.9604689,0.0,0.0,0.0,0.00113930966556858,0.00113930966556858,-0.00566834977338543,0.0,0.0,0.0,0.000304264937955619,0.000304264937955619,-0.000271205782170129,0.0,0.0,0.0,0.00063531584131305,0.00062323885010263,4.0,1.0,0.00033732409374111,0.0,57.6,1.0,27755843.3720503,-24848288.5744972,3354834.0001385,0.0,0.0
50,98.8,0.00149152691679258,0.00149152691679258,-0.00605866666666667,0.0,0.0,0.0,-4000000.0,-4000000.0,-53899544.5738776,0.0,0.0,0.0,0.00116387623816327,0.00116387623816327,-0.00576661606376418,0.0,0.0,0.0,0.000327650678613792,0.000327650678613792,-0.000292050602902489,0.0,0.0,0.0,0.000684146086430361,0.000698369552934156,4.0,1.0,0.000363250754325096,0.0,58.8,1.0,28113328.5094908,-25254865.3815219,3354834.00010465,0.0,0.0
51,100.0,0.00154023521727924,0.00154023521727924,-0.00617777777777778,0.0,0.0,0.0,-4000000.0,-4000000.0,-54776137.6444957,0.0,0.0,0.0,0.00118822604568044,0.00118822604568044,-0.00586401529383285,0.0,0.0,0.0,0.000352009171583284,0.000352009171583284,-0.000313762483944925,0.0,0.0,0.0,0.000735007472425114,0.000778565371974436,4.0,1.0,0.000390255859221643,0.0,60.0,1.0,28467659.3488106,-25657854.7262458,3354834.00007958,0.0,0.0
52,101.2,0.00158970061358675,0.00158970061358675,-0.00629688888888889,0.0,0.0,0.0,-4000000.0,-4000000.0,-55644915.7291318,0.0,0.0,0.0,0.00121235877025366,0.00121235877025366,-0.00596054619212576,0.0,0.0,0.0,0.000377341843317574,0.000377341843317574,-0.000336342696763134,0.0,0.0,0.0,0.000787902977782111,0.00086397245007347,4.0,1.0,0.000418340989872013,0.0,61.2,1.0,28818831.2645187,-26057251.3479787,3354834.0000609,0.0,0.0
53,102.4,0.00163992366356619,0.00163992366356619,-0.006416,0.0,0.0,0.0,-4000000.0,-4000000.0,-56505873.0694683,0.0,0.0,0.0,0.00123627425192967,0.00123627425192967,-0.00605620811882981,0.0,0.0,0.0,0.000403649411620994,0.000403649411620994,-0.000359791881170192,0.0,0.0,0.0,0.000842834101301924,0.000954733446013661,4.0,1.0,0.000447506942071797,0.0,62.4,1.0,29166841.9290268,-26453052.5994935,3354834.00004688,0.0,0.0
54,103.6,0.00169090441885203,0.00169090441885203,-0.00653511111111111,0.0,0.0,0.0,-4000000.0,-4000000.0,-57359009.1325174,0.0,0.0,0.0,0.00125997247590326,0.00125997247590326,-0.00615100101472415,0.0,0.0,0.0,0.000430931942933249,0.000430931942933249,-0.000384110096386959,0.0,0.0,0.0,0.000899800981712977,0.00105098755444669,4.0,1.0,0.000477753789479538,0.0,63.6,1.0,29511691.1268952,-26845258.2357634,3354834.0000363,0.0,0.0
55,104.8,0.00174264246744449,0.00174264246744449,-0.00665422222222222,0.0,0.0,0.0,-3999999.99999999,-3999999.99999999,-58204328.171073,0.0,0.0,0.0,0.00128345356030758,0.00128345356030758,-0.00624492535234145,0.0,0.0,0.0,0.000459188907121393,0.000459188907121393,-0.000409296869880778,0.0,0.0,0.0,0.000958802512079129,0.00115287054406158,4.0,1.0,0.000509080944362009,0.0,64.8,1.0,29853380.5771623,-27233870.2118923,3354834.00002827,0.0,0.0
56,106.0,0.001795136974303,0.001795136974303,-0.00677333333333333,0.0,0.0,0.0,-4000000.0,-4000000.0,-59041838.8046921,0.0,0.0,0.0,0.00130671774457478,0.00130671774457478,-0.00633798208941023,0.0,0.0,0.0,0.000488419229712699,0.000488419229712699,-0.000435351243923102,0.0,0.0,0.0,0.00101983644886371,0.00126051481181591,4.0,1.0,0.000541487215502295,0.0,66.0,1.0,30191913.7639707,-27618892.4904822,3354834.00002213,0.0,0.0
57,107.2,0.00184838671992344,0.00184838671992344,-0.00689244444444444,0.0,0.0,0.0,-3999999.99999999,-3999999.99999999,-59871553.6214871,0.0,0.0,0.0,0.00132976537837464,0.00132976537837464,-0.00643017262460968,0.0,0.0,0.0,0.000518621341533282,0.000518621341533282,-0.000462271819834763,0.0,0.0,0.0,0.00108289951557672,0.00137404945119574,4.0,1.0,0.000574970863231802,0.0,67.2,1.0,30527295.7756075,-28000330.8585685,3354834.00001742,0.0,0.0
