,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,EPLXX,EPLYY,EPLZZ,EPLXY,EPLXZ,EPLYZ,LAMBDA,ALPHA,NITER,IP,EVP,GAMMAP,TIME,DOMAIN,XEQ,XM,Y,E_STORED,E_DISSIPATED
118,180.4,0.0134426305415972,0.0134426305415972,-0.0141582222222222,0.0,0.0,0.0,-3999999.99997706,-3999999.99997706,-18453489.2236213,0.0,0.0,0.0,0.000179263589546946,0.000179263589546946,-0.00182816546929253,0.0,0.0,0.0,0.0132633669520897,0.0132633669520897,-0.0123300567529297,0.0,0.0,0.0,0.0283933543024994,0.844080928733027,4.0,1.0,0.0141966771512497,0.0,140.4,1.0,13779865.6143704,-8953058.76627134,90000.0000000001,0.0,0.0
119,181.6,0.0135734228512425,0.0135734228512425,-0.0142773333333333,0.0,0.0,0.0,-3999999.9999798,-3999999.9999798,-18424438.6085392,0.0,0.0,0.0,0.000178456628016662,0.000178456628016662,-0.00182493762317215,0.0,0.0,0.0,0.01339496622327,0.01339496622327,-0.0124523957101612,0.0,0.0,0.0,0.0286750734727576,0.846751162100076,4.0,1.0,0.0143375367363788,0.0,141.6,1.0,13768270.2816051,-8939871.1036834,90000.0,0.0,0.0
120,182.8,0.0137041248674817,0.0137041248674817,-0.0143964444444444,0.0,0.0,0.0,-4000000.0,-4000000.0,-18396372.184674,0.0,0.0,0.0,0.000177677005129834,0.000177677005129834,-0.00182181913163044,0.0,0.0,0.0,0.013526447862396,0.013526447862396,-0.012574625312814,0.0,0.0,0.0,0.0289565408239562,0.849354688761722,4.0,1.0,0.0144782704119781,0.0,142.8,1.0,13757067.780167,-8927130.21953754,90000.0000274334,0.0,0.0
121,184.0,0.0138347403550126,0.0138347403550126,-0.0145155555555556,0.0,0.0,0.0,-3999999.99999624,-3999999.99999624,-18369248.9170606,0.0,0.0,0.0,0.000176923581029775,0.000176923581029775,-0.00181880543522917,0.0,0.0,0.0,0.0136578167740278,0.0136578167740278,-0.0126967501203264,0.0,0.0,0.0,0.0292377668554584,0.851893684726048,4.0,1.0,0.0146188834277292,0.0,144.0,1.0,13746241.7346711,-8914817.48511567,90000.0,0.0,0.0
122,185.2,0.0139652728930841,0.0139652728930841,-0.0146346666666667,0.0,0.0,0.0,-3999999.99999668,-3999999.99999668,-18343029.7921631,0.0,0.0,0.0,0.000176195272004806,0.000176195272004806,-0.00181589219912941,0.0,0.0,0.0,0.0137890776211251,0.0137890776211251,-0.0128187744675373,0.0,0.0,0.0,0.0295187615494257,0.854370238335706,4.0,1.0,0.0147593807747129,0.0,145.2,1.0,13735776.5697455,-8902915.1907392,90000.0,0.0,0.0
123,186.4,0.0140957258850184,0.0140957258850184,-0.0147537777777778,0.0,0.0,0.0,-3999999.99999686,-3999999.99999686,-18317677.7140334,0.0,0.0,0.0,0.000175491047612301,0.000175491047612301,-0.00181307530155944,0.0,0.0,0.0,0.0139202348374526,0.0139202348374526,-0.0129407024762183,0.0,0.0,0.0,0.0297995343973737,0.856786354788288,4.0,1.0,0.0148997671986868,0.0,146.4,1.0,13725657.4791188,-8891406.4964678,90000.00002076,0.0,0.0
124,187.6,0.0142261025683049,0.0142261025683049,-0.0148728888888889,0.0,0.0,0.0,-3999999.99999741,-3999999.99999741,-18293157.3942864,0.0,0.0,0.0,0.000174809927619283,0.000174809927619283,-0.00181035082158752,0.0,0.0,0.0,0.0140512926407328,0.0140512926407328,-0.0130625380673014,0.0,0.0,0.0,0.0300800944283284,0.85914396002993,4.0,1.0,0.0150400472141642,0.0,147.6,1.0,13715870.3802348,-8880275.38246534,90000.0,0.0,0.0
125,188.8,0.0143564060247181,0.0143564060247181,-0.014992,0.0,0.0,0.0,-3999999.9999904,-3999999.9999904,-18269435.2418018,0.0,0.0,0.0,0.000174150978939739,0.000174150978939739,-0.0018077150268674,0.0,0.0,0.0,0.0141822550458277,0.0141822550458277,-0.0131842849731326,0.0,0.0,0.0,0.0303604502370458,0.861444904250844,4.0,1.0,0.0151802251185229,0.0,148.8,1.0,13706401.8629147,-8869506.60039137,90000.0,0.0,0.0
126,190.0,0.014486639188107,0.014486639188107,-0.0151111111111111,0.0,0.0,0.0,-3999999.99999796,-3999999.99999796,-18246479.2778828,0.0,0.0,0.0,0.000173513313274692,0.000173513313274692,-0.00180516436420931,0.0,0.0,0.0,0.0143131258748821,0.0143131258748821,-0.0133059467469018,0.0,0.0,0.0,0.0306406100057248,0.863690965681241,4.0,1.0,0.0153203050028624,0.0,150.0,1.0,13697239.1639569,-8859085.63320608,90000.0,0.0,0.0
127,191.2,0.014616804853097,0.014616804853097,-0.0152302222222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-18224259.0413165,0.0,0.0,0.0,0.000172896084481015,0.000172896084481015,-0.00180269544903517,0.0,0.0,0.0,0.0144439087686658,0.0144439087686658,-0.0134275267731871,0.0,0.0,0.0,0.0309205815282893,0.865883853774076,4.0,1.0,0.0154602907641446,0.0,151.2,1.0,13688370.1244189,-8848998.65300652,90000.0000145025,0.0,0.0
