,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,GAMMAP,TIME,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,-0.000222222222222222,-0.000222222222222222,-0.000222222222222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-4000000.0,0.0,0.0,0.0,-0.000222222222222222,-0.000222222222222222,-0.000222222222222222,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0
2,41.2,-0.000192444444444444,-0.000192444444444444,-0.000341333333333333,0.0,0.0,0.0,-4000000.0,-4000000.0,-5072000.0,0.0,0.0,0.0,-0.000192444444444444,-0.000192444444444444,-0.000341333333333334,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,0.0,0.0
3,42.4,-0.000162666666666666,-0.000162666666666667,-0.000460444444444444,0.0,0.0,0.0,-4000000.0,-4000000.0,-6144000.0,0.0,0.0,0.0,-0.000162666666666667,-0.000162666666666667,-0.000460444444444444,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.4,0.0,0.0
4,43.6,-0.000132888888888889,-0.000132888888888889,-0.000579555555555555,0.0,0.0,0.0,-4000000.0,-4000000.0,-7216000.0,0.0,0.0,0.0,-0.000132888888888889,-0.000132888888888889,-0.000579555555555556,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.6,0.0,0.0
5,44.8,-0.000103111111111111,-0.000103111111111111,-0.000698666666666666,0.0,0.0,0.0,-4000000.0,-4000000.0,-8288000.0,0.0,0.0,0.0,-0.000103111111111111,-0.000103111111111111,-0.000698666666666666,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.8,0.0,0.0
6,46.0,-7.33333333333332e-05,-7.33333333333332e-05,-0.000817777777777778,0.0,0.0,0.0,-4000000.0,-4000000.0,-9360000.0,0.0,0.0,0.0,-7.33333333333334e-05,-7.33333333333334e-05,-0.000817777777777778,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0
7,47.2,-4.35555555555553e-05,-4.35555555555553e-05,-0.000936888888888889,0.0,0.0,0.0,-4000000.0,-4000000.0,-10432000.0,0.0,0.0,0.0,-4.35555555555555e-05,-4.35555555555555e-05,-0.000936888888888889,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.2,0.0,0.0
8,48.4,-1.37777777777776e-05,-1.37777777777776e-05,-0.001056,0.0,0.0,0.0,-4000000.0,-4000000.0,-11504000.0,0.0,0.0,0.0,-1.37777777777778e-05,-1.37777777777778e-05,-0.001056,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.4,0.0,0.0
9,49.6,1.60000000000003e-05,1.60000000000002e-05,-0.00117511111111111,0.0,0.0,0.0,-4000000.0,-4000000.0,-12576000.0,0.0,0.0,0.0,1.6e-05,1.60000000000001e-05,-0.00117511111111111,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.6,0.0,0.0
10,50.8,4.5777777777778e-05,4.57777777777779e-05,-0.00129422222222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-13648000.0,0.0,0.0,0.0,4.57777777777777e-05,4.57777777777777e-05,-0.00129422222222222,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.8,0.0,0.0
11,52.0,7.55555555555558e-05,7.55555555555557e-05,-0.00141333333333333,0.0,0.0,0.0,-4000000.0,-4000000.0,-14720000.0,0.0,0.0,0.0,7.55555555555556e-05,7.55555555555556e-05,-0.00141333333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0
12,53.2,0.000114742475638731,0.000114742475638731,-0.00153244444444444,0.0,0.0,0.0,-4000000.00002243,-4000000.00002243,-15703981.9507229,0.0,0.0,0.0,0.000102888387518212,0.000102888387518212,-0.00152266466119019,0.0,0.0,0.0,2.62327205938665e-05,4.0,1.0,1.39283929744315e-05,1.44225809123995e-05,13.2,0.0,0.0
13,54.4,0.000259117209706015,0.000259117209706015,-0.00165155555555556,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.000345729422749191,2.0,1.0,0.000183566749992375,0.000190079811034204,14.4,0.0,0.0
14,55.6,0.000403491943767187,0.000403491943767187,-0.00177066666666667,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.000665226124891877,2.0,1.0,0.000353205107003607,0.00036573704114906,15.6,0.0,0.0
15,56.8,0.000547866677828358,0.000547866677828358,-0.00188977777777778,0.0,0.0,0.0,-4000000.00000001,-4000000.0,-15703981.9506686,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.0015226646611854,0.0,0.0,0.0,0.000984722827034557,2.0,1.0,0.000522843464014837,0.000541394271263913,16.8,0.0,0.0
16,58.0,0.000692241411889531,0.000692241411889531,-0.00200888888888889,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.00130421952917724,2.0,1.0,0.00069248182102607,0.00071705150137877,18.0,0.0,0.0
17,59.2,0.000836616145950703,0.000836616145950702,-0.002128,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506686,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.0015226646611854,0.0,0.0,0.0,0.00162371623131993,2.0,1.0,0.0008621201780373,0.000892708731493623,19.2,0.0,0.0
18,60.4,0.000980990880011875,0.000980990880011875,-0.00224711111111111,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.00194321293346261,2.0,1.0,0.00103175853504853,0.00106836596160848,20.4,0.0,0.0
19,61.6,0.00112536561407305,0.00112536561407305,-0.00236622222222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.0022627096356053,2.0,1.0,0.00120139689205976,0.00124402319172333,21.6,0.0,0.0
20,62.8,0.00126974034813422,0.00126974034813422,-0.00248533333333333,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-15703981.9506686,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.0015226646611854,0.0,0.0,0.0,0.00258220633774798,2.0,1.0,0.00137103524907099,0.00141968042183819,22.8,0.0,0.0
21,64.0,0.00141411508219539,0.00141411508219539,-0.00260444444444444,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.00290170303989066,2.0,1.0,0.00154067360608223,0.00159533765195304,24.0,0.0,0.0
22,65.2,0.00155848981625656,0.00155848981625656,-0.00272355555555556,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.00322119974203335,2.0,1.0,0.00171031196309346,0.0017709948820679,25.2,0.0,0.0
23,66.4,0.00170286455031774,0.00170286455031774,-0.00284266666666667,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.00354069644417603,2.0,1.0,0.00187995032010469,0.00194665211218276,26.4,0.0,0.0
24,67.6,0.00184723928437891,0.00184723928437891,-0.00296177777777778,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-15703981.9506686,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.0015226646611854,0.0,0.0,0.0,0.00386019314631871,2.0,1.0,0.00204958867711592,0.00212230934229761,27.6,0.0,0.0
25,68.8,0.00199161401844008,0.00199161401844008,-0.00308088888888889,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-15703981.9506686,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.0015226646611854,0.0,0.0,0.0,0.0041796898484614,2.0,1.0,0.00221922703412715,0.00229796657241246,28.8,0.0,0.0
26,70.0,0.00213598875250125,0.00213598875250125,-0.0032,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.00449918655060409,2.0,1.0,0.00238886539113839,0.00247362380252732,30.0,0.0,0.0
27,71.2,0.00228036348656242,0.00228036348656242,-0.00331911111111111,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-15703981.9506686,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.0015226646611854,0.0,0.0,0.0,0.00481868325274677,2.0,1.0,0.00255850374814962,0.00264928103264217,31.2,0.0,0.0
28,72.4,0.0024247382206236,0.0024247382206236,-0.00343822222222222,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-15703981.9506686,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.0015226646611854,0.0,0.0,0.0,0.00513817995488945,2.0,1.0,0.00272814210516085,0.00282493826275703,32.4,0.0,0.0
29,73.6,0.00256911295468477,0.00256911295468477,-0.00355733333333333,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.00545767665703214,2.0,1.0,0.00289778046217208,0.00300059549287188,33.6,0.0,0.0
30,74.8,0.00271348768874594,0.00271348768874594,-0.00367644444444444,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.00577717335917482,2.0,1.0,0.00306741881918331,0.00317625272298674,34.8,0.0,0.0
31,76.0,0.00285786242280711,0.00285786242280711,-0.00379555555555556,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506686,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.0015226646611854,0.0,0.0,0.0,0.0060966700613175,2.0,1.0,0.00323705717619454,0.00335190995310159,36.0,0.0,0.0
32,77.2,0.00300223715686828,0.00300223715686828,-0.00391466666666667,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.00641616676346018,2.0,1.0,0.00340669553320577,0.00352756718321645,37.2,0.0,0.0
33,78.4,0.00314661189092946,0.00314661189092946,-0.00403377777777778,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.00673566346560288,2.0,1.0,0.00357633389021701,0.0037032244133313,38.4,0.0,0.0
34,79.6,0.00329098662499063,0.00329098662499063,-0.00415288888888889,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.00705516016774556,2.0,1.0,0.00374597224722824,0.00387888164344616,39.6,0.0,0.0
35,80.8,0.0034353613590518,0.0034353613590518,-0.004272,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-15703981.9506686,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.0015226646611854,0.0,0.0,0.0,0.00737465686988824,2.0,1.0,0.00391561060423947,0.00405453887356101,40.8,0.0,0.0
36,82.0,0.00357973609311297,0.00357973609311297,-0.00439111111111111,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.00769415357203092,2.0,1.0,0.0040852489612507,0.00423019610367587,42.0,0.0,0.0
37,83.2,0.00372411082717414,0.00372411082717414,-0.00451022222222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.00801365027417361,2.0,1.0,0.00425488731826193,0.00440585333379072,43.2,0.0,0.0
38,84.4,0.00386848556123532,0.00386848556123532,-0.00462933333333333,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.00833314697631629,2.0,1.0,0.00442452567527316,0.00458151056390558,44.4,0.0,0.0
39,85.6,0.00401286029529648,0.00401286029529648,-0.00474844444444444,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506686,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.0015226646611854,0.0,0.0,0.0,0.00865264367845897,2.0,1.0,0.00459416403228439,0.00475716779402043,45.6,0.0,0.0
40,86.8,0.00415723502935766,0.00415723502935766,-0.00486755555555555,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.00897214038060166,2.0,1.0,0.00476380238929562,0.00493282502413529,46.8,0.0,0.0
41,88.0,0.00430160976341883,0.00430160976341883,-0.00498666666666667,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.00929163708274434,2.0,1.0,0.00493344074630686,0.00510848225425014,48.0,0.0,0.0
42,89.2,0.00444598449748,0.00444598449748,-0.00510577777777778,0.0,0.0,0.0,-4000000.0,-4000000.0,-15703981.9506685,0.0,0.0,0.0,0.000102888387518571,0.000102888387518571,-0.00152266466118539,0.0,0.0,0.0,0.00961113378488703,2.0,1.0,0.00510307910331809,0.005284139484365,49.2,0.0,0.0
