,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,TIME,C3T,E_STORED,E_DISSIPATED
17,29.2,0.000591420964753776,0.000591420964753776,-0.001972,0.0,0.0,0.0,-1000000.0,-1000000.0,-17078160.2727962,0.0,0.0,0.0,0.000391060007577672,0.000391060007577672,-0.00184201780808847,0.0,0.0,0.0,0.000509910906842215,2.0,1.0,0.000270739722440673,19.2,59.9999997154088,0.0,0.0
18,30.4,0.000776052335028837,0.000776052335028837,-0.00209177777777778,0.0,0.0,0.0,-999999.999999998,-999999.999999998,-17078160.2727962,0.0,0.0,0.0,0.000391060007577672,0.000391060007577672,-0.00184201780808847,0.0,0.0,0.0,0.000979790621809491,2.0,1.0,0.000520224685213017,20.4,60.0,0.0,0.0
19,31.6,0.000960683705303896,0.000960683705303896,-0.00221155555555556,0.0,0.0,0.0,-1000000.0,-1000000.0,-17078160.2727962,0.0,0.0,0.0,0.000391060007577673,0.000391060007577673,-0.00184201780808847,0.0,0.0,0.0,0.00144967033677676,2.0,1.0,0.000769709647985358,21.6,60.0,0.0,0.0
20,32.8,0.00114531507557896,0.00114531507557896,-0.00233133333333333,0.0,0.0,0.0,-1000000.0,-1000000.0,-17078160.2727962,0.0,0.0,0.0,0.000391060007577673,0.000391060007577673,-0.00184201780808847,0.0,0.0,0.0,0.00191955005174403,2.0,1.0,0.0010191946107577,22.8,59.9999995975272,0.0,0.0
21,34.0,0.00132994644585402,0.00132994644585402,-0.00245111111111111,0.0,0.0,0.0,-1000000.0,-1000000.0,-17078160.2727962,0.0,0.0,0.0,0.000391060007577672,0.000391060007577672,-0.00184201780808847,0.0,0.0,0.0,0.0023894297667113,2.0,1.0,0.00126867957353004,24.0,60.0,0.0,0.0
22,35.2,0.00151457781612908,0.00151457781612908,-0.00257088888888889,0.0,0.0,0.0,-1000000.0,-1000000.0,-17078160.2727962,0.0,0.0,0.0,0.000391060007577673,0.000391060007577673,-0.00184201780808847,0.0,0.0,0.0,0.00285930948167858,2.0,1.0,0.00151816453630239,25.2,60.0,0.0,0.0
23,36.4,0.00169920918640414,0.00169920918640414,-0.00269066666666667,0.0,0.0,0.0,-1000000.0,-1000000.0,-17078160.2727962,0.0,0.0,0.0,0.000391060007577672,0.000391060007577672,-0.00184201780808847,0.0,0.0,0.0,0.00332918919664585,2.0,1.0,0.00176764949907473,26.4,60.0,0.0,0.0
24,37.6,0.0018838405566792,0.0018838405566792,-0.00281044444444444,0.0,0.0,0.0,-999999.999999999,-999999.999999999,-17078160.2727962,0.0,0.0,0.0,0.000391060007577673,0.000391060007577673,-0.00184201780808847,0.0,0.0,0.0,0.00379906891161312,2.0,1.0,0.00201713446184707,27.6,60.0,0.0,0.0
25,38.8,0.00206847192695426,0.00206847192695426,-0.00293022222222222,0.0,0.0,0.0,-999999.999999998,-999999.999999999,-17078160.2727962,0.0,0.0,0.0,0.000391060007577673,0.000391060007577672,-0.00184201780808847,0.0,0.0,0.0,0.00426894862658039,2.0,1.0,0.00226661942461942,28.8,59.9999997154088,0.0,0.0
26,40.0,0.00225310329722932,0.00225310329722932,-0.00305,0.0,0.0,0.0,-1000000.0,-1000000.0,-17078160.2727962,0.0,0.0,0.0,0.000391060007577672,0.000391060007577672,-0.00184201780808847,0.0,0.0,0.0,0.00473882834154766,2.0,1.0,0.00251610438739176,30.0,60.0,0.0,0.0
27,41.2,0.00243773466750438,0.00243773466750438,-0.00316977777777778,0.0,0.0,0.0,-1000000.0,-999999.999999995,-17078160.2727962,0.0,0.0,0.0,0.000391060007577672,0.000391060007577673,-0.00184201780808847,0.0,0.0,0.0,0.00520870805651494,2.0,1.0,0.0027655893501641,31.2,59.9999997154088,0.0,0.0
28,42.4,0.00262236603777944,0.00262236603777944,-0.00328955555555556,0.0,0.0,0.0,-1000000.0,-1000000.0,-17078160.2727962,0.0,0.0,0.0,0.000391060007577672,0.000391060007577672,-0.00184201780808847,0.0,0.0,0.0,0.00567858777148221,2.0,1.0,0.00301507431293644,32.4,60.0,0.0,0.0
29,43.6,0.0028069974080545,0.0028069974080545,-0.00340933333333333,0.0,0.0,0.0,-999999.999999995,-1000000.0,-17078160.2727962,0.0,0.0,0.0,0.000391060007577673,0.000391060007577672,-0.00184201780808847,0.0,0.0,0.0,0.00614846748644948,2.0,1.0,0.00326455927570879,33.6,59.9999997154088,0.0,0.0
30,44.8,0.00299162877832956,0.00299162877832956,-0.00352911111111111,0.0,0.0,0.0,-1000000.0,-1000000.0,-17078160.2727962,0.0,0.0,0.0,0.000391060007577672,0.000391060007577672,-0.00184201780808847,0.0,0.0,0.0,0.00661834720141675,2.0,1.0,0.00351404423848113,34.8,60.0,0.0,0.0
31,46.0,0.00317626014860462,0.00317626014860462,-0.00364888888888889,0.0,0.0,0.0,-1000000.0,-999999.999999995,-17078160.2727962,0.0,0.0,0.0,0.000391060007577672,0.000391060007577673,-0.00184201780808847,0.0,0.0,0.0,0.00708822691638402,2.0,1.0,0.00376352920125347,36.0,59.9999997154088,0.0,0.0
32,47.2,0.00336089151887968,0.00336089151887968,-0.00376866666666667,0.0,0.0,0.0,-1000000.0,-1000000.0,-17078160.2727962,0.0,0.0,0.0,0.000391060007577672,0.000391060007577672,-0.00184201780808847,0.0,0.0,0.0,0.00755810663135129,2.0,1.0,0.00401301416402581,37.2,60.0,0.0,0.0
33,48.4,0.00354552288915474,0.00354552288915474,-0.00388844444444444,0.0,0.0,0.0,-999999.999999995,-1000000.0,-17078160.2727962,0.0,0.0,0.0,0.000391060007577673,0.000391060007577672,-0.00184201780808847,0.0,0.0,0.0,0.00802798634631857,2.0,1.0,0.00426249912679816,38.4,59.9999997154088,0.0,0.0
34,49.6,0.0037301542594298,0.0037301542594298,-0.00400822222222222,0.0,0.0,0.0,-1000000.0,-1000000.0,-17078160.2727962,0.0,0.0,0.0,0.000391060007577672,0.000391060007577672,-0.00184201780808847,0.0,0.0,0.0,0.00849786606128584,2.0,1.0,0.0045119840895705,39.6,60.0,0.0,0.0
