,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,TIME,E_STORED,E_DISSIPATED
17,59.2,0.000519938703615787,0.000519938703615787,-0.0021636571072,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301426e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.000988474870037434,2.0,1.0,0.000524835629837441,19.2,0.0,0.0
18,60.4,0.000653398139501576,0.000653398139501576,-0.00228261583751111,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301427e-05,4.65391353301427e-05,-0.00174169360046615,0.0,0.0,0.0,0.00126714284394415,2.0,1.0,0.000672795771297907,20.4,0.0,0.0
19,61.6,0.000786857575387364,0.000786857575387364,-0.00240157456782222,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301426e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.00154581081785086,2.0,1.0,0.000820755912758373,21.6,0.0,0.0
20,62.8,0.000920317011273153,0.000920317011273153,-0.00252053329813333,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301426e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.00182447879175758,2.0,1.0,0.000968716054218839,22.8,0.0,0.0
21,64.0,0.00105377644715894,0.00105377644715894,-0.00263949202844444,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301428e-05,4.65391353301427e-05,-0.00174169360046615,0.0,0.0,0.0,0.0021031467656643,2.0,1.0,0.00111667619567931,24.0,0.0,0.0
22,65.2,0.00118723588304473,0.00118723588304473,-0.00275845075875556,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301426e-05,4.65391353301427e-05,-0.00174169360046615,0.0,0.0,0.0,0.00238181473957101,2.0,1.0,0.00126463633713977,25.2,0.0,0.0
23,66.4,0.00132069531893052,0.00132069531893052,-0.00287740948906667,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301427e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.00266048271347773,2.0,1.0,0.00141259647860024,26.4,0.0,0.0
24,67.6,0.00145415475481631,0.00145415475481631,-0.00299636821937778,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301425e-05,4.65391353301427e-05,-0.00174169360046615,0.0,0.0,0.0,0.00293915068738444,2.0,1.0,0.0015605566200607,27.6,0.0,0.0
25,68.8,0.0015876141907021,0.0015876141907021,-0.00311532694968889,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301427e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.00321781866129116,2.0,1.0,0.00170851676152117,28.8,0.0,0.0
26,70.0,0.00172107362658789,0.00172107362658789,-0.00323428568,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301427e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.00349648663519787,2.0,1.0,0.00185647690298164,30.0,0.0,0.0
