,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,GAMMAP,NITER,IP,EVP,TIME,E_STORED,E_DISSIPATED
16,58.0,0.000494510603826247,0.000494510603826247,-0.00200888888888889,0.0,0.0,0.0,-4000000.0,-4000000.0,-17297501.0267172,0.0,0.0,0.0,0.000147152806297699,0.000147152806297699,-0.00169972233630191,0.0,0.0,0.0,0.000726142658734195,0.000437682900076985,2.0,1.0,0.000385549042470005,18.0,0.0,0.0
17,59.2,0.000628335472236251,0.000628335472236251,-0.002128,0.0,0.0,0.0,-4000000.0,-4000000.0,-17297501.0267171,0.0,0.0,0.0,0.000147152806297699,0.000147152806297699,-0.00169972233630191,0.0,0.0,0.0,0.00100590014926245,0.000606306886424395,2.0,1.0,0.0005340876681789,19.2,0.0,0.0
18,60.4,0.000762160340646254,0.000762160340646253,-0.00224711111111111,0.0,0.0,0.0,-4000000.0,-4000000.0,-17297501.0267171,0.0,0.0,0.0,0.000147152806297699,0.000147152806297699,-0.00169972233630191,0.0,0.0,0.0,0.00128565763979071,0.000774930872771804,2.0,1.0,0.000682626293887795,20.4,0.0,0.0
19,61.6,0.000895985209056256,0.000895985209056255,-0.00236622222222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-17297501.0267171,0.0,0.0,0.0,0.000147152806297699,0.000147152806297699,-0.00169972233630191,0.0,0.0,0.0,0.00156541513031896,0.000943554859119213,2.0,1.0,0.000831164919596689,21.6,0.0,0.0
20,62.8,0.00102981007746626,0.00102981007746626,-0.00248533333333333,0.0,0.0,0.0,-4000000.0,-4000000.0,-17297501.0267172,0.0,0.0,0.0,0.000147152806297699,0.000147152806297699,-0.00169972233630191,0.0,0.0,0.0,0.00184517262084722,0.00111217884546662,2.0,1.0,0.000979703545305584,22.8,0.0,0.0
21,64.0,0.00116363494587626,0.00116363494587626,-0.00260444444444444,0.0,0.0,0.0,-4000000.0,-4000000.0,-17297501.0267171,0.0,0.0,0.0,0.000147152806297699,0.000147152806297699,-0.00169972233630191,0.0,0.0,0.0,0.00212493011137547,0.00128080283181403,2.0,1.0,0.00112824217101448,24.0,0.0,0.0
22,65.2,0.00129745981428627,0.00129745981428627,-0.00272355555555556,0.0,0.0,0.0,-4000000.00000178,-4000000.00000178,-17297501.0267211,0.0,0.0,0.0,0.000147152806297661,0.000147152806297661,-0.00169972233630225,0.0,0.0,0.0,0.00240468760190292,0.00144942681816095,2.0,1.0,0.00127678079672294,25.2,0.0,0.0
23,66.4,0.00143128468269669,0.00143128468269669,-0.00284266666666667,0.0,0.0,0.0,-4000000.0,-4000000.0,-17297501.0267171,0.0,0.0,0.0,0.000147152806297698,0.000147152806297698,-0.00169972233630191,0.0,0.0,0.0,0.00268444509243198,0.00161805080450885,2.0,1.0,0.00142531942243227,26.4,0.0,0.0
24,67.6,0.0015651095511067,0.0015651095511067,-0.00296177777777778,0.0,0.0,0.0,-4000000.00000178,-4000000.00000178,-17297501.0267211,0.0,0.0,0.0,0.000147152806297661,0.000147152806297661,-0.00169972233630225,0.0,0.0,0.0,0.00296420258295942,0.00178667479085577,2.0,1.0,0.00157385804814073,27.6,0.0,0.0
25,68.8,0.00169893441951713,0.00169893441951712,-0.00308088888888889,0.0,0.0,0.0,-4000000.00000178,-4000000.00000178,-17297501.0267211,0.0,0.0,0.0,0.000147152806297661,0.000147152806297661,-0.00169972233630225,0.0,0.0,0.0,0.00324396007348768,0.00195529877720318,2.0,1.0,0.00172239667384963,28.8,0.0,0.0
26,70.0,0.00183275928792755,0.00183275928792755,-0.0032,0.0,0.0,0.0,-4000000.0,-4000000.0,-17297501.0267172,0.0,0.0,0.0,0.000147152806297699,0.000147152806297699,-0.00169972233630191,0.0,0.0,0.0,0.00352371756401675,0.00212392276355108,2.0,1.0,0.00187093529955895,30.0,0.0,0.0
27,71.2,0.00196658415633756,0.00196658415633756,-0.00331911111111111,0.0,0.0,0.0,-4000000.0,-4000000.0,-17297501.0267172,0.0,0.0,0.0,0.000147152806297699,0.000147152806297699,-0.00169972233630191,0.0,0.0,0.0,0.003803475054545,0.00229254674989849,2.0,1.0,0.00201947392526785,31.2,0.0,0.0
28,72.4,0.00210040902474756,0.00210040902474756,-0.00343822222222222,0.0,0.0,0.0,-4000000.00000178,-4000000.00000178,-17297501.0267212,0.0,0.0,0.0,0.000147152806297661,0.000147152806297661,-0.00169972233630225,0.0,0.0,0.0,0.00408323254507245,0.00246117073624541,2.0,1.0,0.00216801255097631,32.4,0.0,0.0
29,73.6,0.00223423389315799,0.00223423389315799,-0.00355733333333333,0.0,0.0,0.0,-4000000.0,-4000000.0,-17297501.0267172,0.0,0.0,0.0,0.000147152806297699,0.000147152806297699,-0.00169972233630191,0.0,0.0,0.0,0.00436299003560151,0.00262979472259331,2.0,1.0,0.00231655117668564,33.6,0.0,0.0
