,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,EPLXX,EPLYY,EPLZZ,EPLXY,EPLXZ,EPLYZ,LAMBDA,ALPHA,NITER,IP,EVP,GAMMAP,TIME,DOMAIN,XEQ,XM,Y,E_STORED,E_DISSIPATED
34,79.6,0.00152254859450992,0.00152254859450992,-0.00415288888888889,0.0,0.0,0.0,-4000000.0,-4000000.0,-31517480.9580386,0.0,0.0,0.0,0.000542152248834405,0.000542152248834405,-0.00327972010644873,0.0,0.0,0.0,0.000980396345675036,0.000980396345675036,-0.000873168782440156,0.0,0.0,0.0,0.00204842971949584,0.0401725690812966,4.0,1.0,0.00108762390890992,0.0,39.6,1.0,19053051.2867285,-14969968.7991224,90000.0000473421,0.0,0.0
35,80.8,0.00163209759082863,0.00163209759082863,-0.004272,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-31766799.4246377,0.0,0.0,0.0,0.000549077761795491,0.000549077761795491,-0.00330742215829308,0.0,0.0,0.0,0.00108301982903266,0.00108301982903266,-0.000964577841706925,0.0,0.0,0.0,0.00226283191396064,0.0461871838472207,4.0,1.0,0.00120146181635839,0.0,40.8,1.0,19153912.2535068,-15084577.472082,90000.0000347506,0.0,0.0
36,82.0,0.00174562746670038,0.00174562746670038,-0.00439111111111111,0.0,0.0,0.0,-4000000.0,-4000000.0,-31975056.2259078,0.0,0.0,0.0,0.000554862672941882,0.000554862672941882,-0.00333056180287864,0.0,0.0,0.0,0.00119076479375802,0.00119076479375802,-0.00106054930823247,0.0,0.0,0.0,0.00248793286060109,0.05278857612233,4.0,1.0,0.00132098027928357,0.0,42.0,1.0,19238159.3041415,-15180308.5204279,90000.0000261391,0.0,0.0
37,83.2,0.00186322925647508,0.00186322925647508,-0.00451022222222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-32141313.3681981,0.0,0.0,0.0,0.00055948092689439,0.00055948092689439,-0.00334903481868867,0.0,0.0,0.0,0.0013037483295802,0.0013037483295802,-0.00116118740353355,0.0,0.0,0.0,0.00272397732206654,0.0600179614696774,4.0,1.0,0.00144630925562686,0.0,43.2,1.0,19305413.3891742,-15256730.7683758,90000.0000200451,0.0,0.0
38,84.4,0.00198500458579484,0.00198500458579484,-0.00462933333333333,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-32264523.8086848,0.0,0.0,0.0,0.000562903439130133,0.000562903439130132,-0.00336272486763164,0.0,0.0,0.0,0.00142210114666423,0.00142210114666423,-0.00126660846570169,0.0,0.0,0.0,0.00297123854609152,0.067919496415548,4.0,1.0,0.00157759382762677,0.0,44.4,1.0,19355251.264397,-15313362.9087509,90000.0000155878,0.0,0.0
39,85.6,0.00211106168581057,0.00211106168581057,-0.00474844444444444,0.0,0.0,0.0,-4000000.00000001,-4000000.0,-32343572.5828098,0.0,0.0,0.0,0.000565099238411384,0.000565099238411384,-0.00337150806475665,0.0,0.0,0.0,0.00154596244739871,0.00154596244739871,-0.0013769363796878,0.0,0.0,0.0,0.00323000755515348,0.0765398242120991,4.0,1.0,0.00171498851510962,0.0,45.6,1.0,19387222.1304515,-15349692.4124606,90000.0000122217,0.0,0.0
40,86.8,0.00224151003826624,0.00224151003826624,-0.00486755555555555,0.0,0.0,0.0,-4000000.0,-4000000.00000001,-32377332.0555731,0.0,0.0,0.0,0.000566037001543696,0.000566037001543695,-0.00337525911728589,0.0,0.0,0.0,0.00167547303672206,0.00167547303672206,-0.00149229643826966,0.0,0.0,0.0,0.00350057875671139,0.0859272720861346,4.0,1.0,0.00185864963517445,0.0,46.8,1.0,19400869.9842722,-15365200.9311193,90000.0000096011,0.0,0.0
41,88.0,0.00237645327074918,0.00237645327074918,-0.00498666666666667,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-32364735.2213313,0.0,0.0,0.0,0.000565687089481425,0.000565687089481425,-0.00337385946903681,0.0,0.0,0.0,0.00181076618126727,0.00181076618126727,-0.00161280719762986,0.0,0.0,0.0,0.0037832308506476,0.0961305841452536,4.0,1.0,0.00200872516490468,0.0,48.0,1.0,19395763.2706202,-15359397.9970641,90000.0000075037,0.0,0.0
42,89.2,0.00251597993626433,0.00251597993626432,-0.00510577777777778,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-32304870.8224905,0.0,0.0,0.0,0.000564024189513623,0.000564024189513623,-0.00336720786916561,0.0,0.0,0.0,0.00195195574675021,0.00195195574675021,-0.00173856990861217,0.0,0.0,0.0,0.00407820205036769,0.107197061421171,4.0,1.0,0.00216534158488826,0.0,49.2,1.0,19371533.3597539,-15331864.7540219,90000.0000057878,0.0,0.0
43,90.4,0.00266015191639102,0.00266015191639102,-0.00522488888888889,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-32197102.9721486,0.0,0.0,0.0,0.000561030638115239,0.000561030638115239,-0.00335523366357207,0.0,0.0,0.0,0.00209912127827529,0.00209912127827529,-0.00186965522531682,0.0,0.0,0.0,0.00438565891634498,0.119169986228094,4.0,1.0,0.00232858733123376,0.0,50.4,1.0,19327922.9385284,-15282308.9526507,90000.0000043653,0.0,0.0
44,91.6,0.00280899043742615,0.00280899043742615,-0.005344,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-32041215.3842441,0.0,0.0,0.0,0.000556700427340112,0.000556700427340113,-0.00333791282047156,0.0,0.0,0.0,0.00225229001008554,0.00225229001008554,-0.00200608717952844,0.0,0.0,0.0,0.00470565877303081,0.132085248109852,4.0,1.0,0.00249849284064265,0.0,51.6,1.0,19264844.3582693,-15210631.2582891,90000.0000031847,0.0,0.0
45,92.8,0.00296246013976406,0.00296246013976406,-0.00546311111111111,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-31837575.6633665,0.0,0.0,0.0,0.000551043768426847,0.000551043768426847,-0.0033152861848185,0.0,0.0,0.0,0.00241141637133672,0.00241141637133672,-0.00214782492629261,0.0,0.0,0.0,0.00503810689160938,0.145967182668836,4.0,1.0,0.00267500781638083,0.0,52.8,1.0,19182446.1014478,-15117000.7797754,90000.0000022189,0.0,0.0
46,94.0,0.00312045231895793,0.00312045231895793,-0.00558222222222222,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-31587308.1109061,0.0,0.0,0.0,0.000544091891969612,0.000544091891969613,-0.00328747867898956,0.0,0.0,0.0,0.00257636042698782,0.00257636042698782,-0.00229474354323266,0.0,0.0,0.0,0.00538271144373642,0.160823799146937,4.0,1.0,0.00285797731074298,0.0,54.0,1.0,19081182.6994225,-15001934.5121067,90000.0000014544,0.0,0.0
47,95.2,0.00328276930934789,0.00328276930934788,-0.00570133333333333,0.0,0.0,0.0,-4000000.0,-4000000.0,-31292454.7132362,0.0,0.0,0.0,0.000535901519812116,0.000535901519812116,-0.00325471719035958,0.0,0.0,0.0,0.00274686778953527,0.00274686778953527,-0.00244661614297376,0.0,0.0,0.0,0.0057389415225434,0.176641808215166,4.0,1.0,0.00304711943609679,0.0,55.2,1.0,18961879.8769877,-14866371.3442667,90000.0000008804,0.0,0.0
48,96.4,0.00344911281664602,0.00344911281664602,-0.00582044444444444,0.0,0.0,0.0,-4000000.0,-4000000.0,-30956095.3639604,0.0,0.0,0.0,0.000526558204554456,0.000526558204554456,-0.00321734392932893,0.0,0.0,0.0,0.00292255461209107,0.00292255461209107,-0.00260310051511551,0.0,0.0,0.0,0.00610599577309079,0.193382133486028,4.0,1.0,0.00324200870906662,0.0,56.4,1.0,18825783.214007,-14711727.3237576,90000.0000004814,0.0,0.0
49,97.6,0.00361907947199635,0.00361907947199635,-0.00593955555555555,0.0,0.0,0.0,-4000000.0,-4000000.0,-30582393.5714146,0.0,0.0,0.0,0.000516177599205962,0.000516177599205962,-0.00317582150793496,0.0,0.0,0.0,0.0031029018727899,0.0031029018727899,-0.00276373404762059,0.0,0.0,0.0,0.00648279042793615,0.210976814452543,4.0,1.0,0.0034420696979592,0.0,57.6,1.0,18674576.6705713,-14539916.6626383,90000.0000002308,0.0,0.0
50,98.8,0.00379216654183343,0.00379216654183343,-0.00605866666666667,0.0,0.0,0.0,-4000000.0,-4000000.0,-30176537.39981,0.0,0.0,0.0,0.00050490381666139,0.000504903816661389,-0.00313072637775667,0.0,0.0,0.0,0.00328726272517155,0.00328726272517155,-0.00292794028891,0.0,0.0,0.0,0.00686797463549581,0.229328259042744,4.0,1.0,0.0036465851614331,0.0,58.8,1.0,18510358.7345471,-14353324.5781192,90000.0000000931,0.0,0.0
51,100.0,0.00396778928888952,0.00396778928888952,-0.00617777777777778,0.0,0.0,0.0,-4000000.0,-4000000.0,-29744560.2426959,0.0,0.0,0.0,0.000492904451185998,0.000492904451185999,-0.00308272891585511,0.0,0.0,0.0,0.00347488483770302,0.00347488483770302,-0.00309504886192267,0.0,0.0,0.0,0.0072599771023906,0.248311563164627,4.0,1.0,0.00385472081348337,0.0,60.0,1.0,18335569.9556205,-14154724.8883982,90000.0000000296,0.0,0.0
52,101.2,0.00414530907208371,0.00414530907208371,-0.00629688888888889,0.0,0.0,0.0,-4000000.0,-4000000.0,-29293050.8641797,0.0,0.0,0.0,0.000480362524004992,0.000480362524004992,-0.00303256120713108,0.0,0.0,0.0,0.00366494654807822,0.00366494654807822,-0.00326432768175781,0.0,0.0,0.0,0.00765708160071202,0.267780057026331,4.0,1.0,0.00406556541439863,0.0,61.2,1.0,18152875.6761519,-13947146.7029237,90000.0000000065,0.0,0.0
